"","Month","Day","Year","Starbucks","CFA","UT","Boba"
"143","Dec","10","2019",-25,0,0,0
"144","Dec","09","2019",0,-1.61,0,0
"145","Dec","09","2019",0,0,-7.55,0
"146","Dec","07","2019",0,0,-1.18,0
"147","Dec","06","2019",0,-7.19,0,0
"148","Dec","05","2019",0,-11.41,0,0
"149","Dec","04","2019",-25,0,0,0
"150","Nov","27","2019",0,-13.73,0,0
"151","Nov","27","2019",-25,0,0,0
"152","Nov","27","2019",0,0,-3.44,0
"153","Nov","26","2019",0,-6.86,0,0
"154","Nov","23","2019",-10,0,0,0
"155","Nov","22","2019",-10,0,0,0
"156","Nov","20","2019",0,-6.86,0,0
"157","Nov","20","2019",-10,0,0,0
"158","Nov","19","2019",0,-5.41,0,0
"159","Nov","19","2019",-10,0,0,0
"160","Nov","18","2019",-10,0,0,0
